172.19.0.1 - - [10/Dec/2020:16:01:58 +0000] "GET /cwd/index.html HTTP/1.1" 404 153 "-" "curl/7.61.1"
172.19.0.1 - - [10/Dec/2020:16:02:10 +0000] "GET /cwd/index.html HTTP/1.1" 404 153 "-" "curl/7.61.1"
64.31.8.10 - - [10/Dec/2020:16:04:44 +0000] "GET http://example.com/ HTTP/1.1" 200 8 "-" "Go-http-client/1.1"
172.19.0.1 - - [10/Dec/2020:16:06:02 +0000] "GET /cwd/ HTTP/1.1" 403 153 "-" "curl/7.61.1"
172.19.0.1 - - [10/Dec/2020:16:06:05 +0000] "GET /cwd/index.html HTTP/1.1" 404 153 "-" "curl/7.61.1"
172.19.0.1 - - [10/Dec/2020:16:07:58 +0000] "GET /cwd/index.html HTTP/1.1" 200 8 "-" "curl/7.61.1"
172.19.0.1 - - [10/Dec/2020:16:08:37 +0000] "GET /cwd/index.html HTTP/1.1" 404 153 "-" "curl/7.61.1"
172.19.0.1 - - [10/Dec/2020:16:09:27 +0000] "GET / HTTP/1.1" 200 8 "-" "curl/7.61.1"
172.19.0.1 - - [10/Dec/2020:16:09:30 +0000] "GET /index.html HTTP/1.1" 200 8 "-" "curl/7.61.1"
172.19.0.1 - - [10/Dec/2020:16:09:36 +0000] "GET /readme.md HTTP/1.1" 200 6 "-" "curl/7.61.1"
172.19.0.1 - - [10/Dec/2020:16:09:42 +0000] "GET /cwd/ HTTP/1.1" 200 8 "-" "curl/7.61.1"
172.19.0.1 - - [10/Dec/2020:16:09:46 +0000] "GET /cwd HTTP/1.1" 200 8 "-" "curl/7.61.1"
172.19.0.1 - - [10/Dec/2020:16:09:50 +0000] "GET /cwd/index.html HTTP/1.1" 200 8 "-" "curl/7.61.1"
172.19.0.1 - - [10/Dec/2020:16:09:54 +0000] "GET /cwd/readm.md HTTP/1.1" 404 153 "-" "curl/7.61.1"
172.19.0.1 - - [10/Dec/2020:16:09:58 +0000] "GET /cwd/readme.md HTTP/1.1" 200 6 "-" "curl/7.61.1"
